UPS 60, FPS 30 | particles alive: 81 | Total shader time (ms): 0.701856
UPS 60, FPS 30 | particles alive: 243 | Total shader time (ms): 0.925728
UPS 60, FPS 30 | particles alive: 243 | Total shader time (ms): 0.655200
UPS 60, FPS 30 | particles alive: 729 | Total shader time (ms): 0.688224
UPS 60, FPS 30 | particles alive: 810 | Total shader time (ms): 1.019968
UPS 60, FPS 30 | particles alive: 1053 | Total shader time (ms): 0.984160
UPS 60, FPS 30 | particles alive: 967 | Total shader time (ms): 0.925440
UPS 60, FPS 30 | particles alive: 2221 | Total shader time (ms): 1.027168
UPS 60, FPS 30 | particles alive: 4006 | Total shader time (ms): 1.083904
UPS 60, FPS 30 | particles alive: 6032 | Total shader time (ms): 1.130208
UPS 60, FPS 30 | particles alive: 9991 | Total shader time (ms): 1.269408
UPS 60, FPS 30 | particles alive: 14000 | Total shader time (ms): 1.360096
UPS 60, FPS 30 | particles alive: 18205 | Total shader time (ms): 1.536224
UPS 60, FPS 30 | particles alive: 21021 | Total shader time (ms): 1.482112
UPS 60, FPS 30 | particles alive: 22994 | Total shader time (ms): 1.475136
UPS 60, FPS 30 | particles alive: 25219 | Total shader time (ms): 1.564928
UPS 60, FPS 30 | particles alive: 25897 | Total shader time (ms): 1.662144
UPS 60, FPS 30 | particles alive: 27005 | Total shader time (ms): 1.726816
UPS 60, FPS 30 | particles alive: 25765 | Total shader time (ms): 1.700256
UPS 60, FPS 30 | particles alive: 25266 | Total shader time (ms): 1.679136
UPS 60, FPS 30 | particles alive: 23590 | Total shader time (ms): 1.737408
UPS 60, FPS 30 | particles alive: 22152 | Total shader time (ms): 1.703616
UPS 60, FPS 30 | particles alive: 19344 | Total shader time (ms): 1.661728
UPS 60, FPS 30 | particles alive: 15563 | Total shader time (ms): 1.365856
UPS 60, FPS 30 | particles alive: 12711 | Total shader time (ms): 1.393312
UPS 60, FPS 30 | particles alive: 8658 | Total shader time (ms): 1.355712
UPS 60, FPS 30 | particles alive: 6914 | Total shader time (ms): 1.468416
UPS 60, FPS 30 | particles alive: 3285 | Total shader time (ms): 1.083360
UPS 60, FPS 30 | particles alive: 1625 | Total shader time (ms): 0.988736
UPS 60, FPS 30 | particles alive: 847 | Total shader time (ms): 0.970496
UPS 60, FPS 30 | particles alive: 199 | Total shader time (ms): 0.906592
UPS 47, FPS 24 | particles alive: 113 | Total shader time (ms): 3.140096
UPS 73, FPS 36 | particles alive: 54 | Total shader time (ms): 0.946944
